Age,Word,Lexical_Class,MCDIp,LogFreq,ProKWo
26,any,function_words,0.3259669,3.512150537,0.486381106
27,any,function_words,0.3384615,3.528016341,0.50957615
28,any,function_words,0.4378921,3.54961624,0.631640635
29,any,function_words,0.4393939,3.580354661,0.590944967
30,any,function_words,0.5322034,3.599992178,0.69616886
16,apple,nouns,0.3263598,2.739572344,0.175642227
17,apple,nouns,0.4285714,2.804139432,0.185807763
18,apple,nouns,0.5769231,2.910624405,0.28870563
19,apple,nouns,0.625,2.987666265,0.343822293
20,apple,nouns,0.6788321,3.074450719,0.353253227
21,apple,nouns,0.7192118,3.126780577,0.38677023
22,apple,nouns,0.855,3.202215776,0.488062628
23,apple,nouns,0.8816794,3.260786669,0.52940733
24,apple,nouns,0.8747856,3.308137379,0.555479505
25,apple,nouns,0.8978979,3.325720858,0.592868081
26,apple,nouns,0.9226519,3.340245762,0.664050424
27,apple,nouns,0.9487179,3.354876423,0.680958846
28,apple,nouns,0.9799247,3.380753771,0.785756902
29,apple,nouns,0.9494949,3.401745082,0.730919912
30,apple,nouns,0.9728814,3.451479405,0.824834055
16,are,function_words,0.0041841,3.921009801,0.066118496
17,are,function_words,0,3.950510893,0.07249746
18,are,function_words,0.00678733,4.012879387,0.122696105
19,are,function_words,0.01829268,4.047235915,0.166357057
20,are,function_words,0.03649635,4.095134467,0.185390022
21,are,function_words,0.04433498,4.138523737,0.210494271
22,are,function_words,0.08,4.173390251,0.317453114
23,are,function_words,0.1145038,4.200959878,0.367944433
24,are,function_words,0.1663808,4.272050575,0.411052156
25,are,function_words,0.2012012,4.301572525,0.463463985
26,are,function_words,0.2872928,4.327113616,0.544659905
27,are,function_words,0.2974359,4.353358346,0.568336231
28,are,function_words,0.4516939,4.382485323,0.697214346
29,are,function_words,0.3989899,4.424211719,0.640535275
30,are,function_words,0.5728814,4.451801781,0.751564433
16,arm,nouns,0.07949791,2.136720567,0.080441716
17,arm,nouns,0.1831502,2.238046103,0.093855311
18,arm,nouns,0.2443439,2.33243846,0.151661568
19,arm,nouns,0.3597561,2.382017043,0.199709369
20,arm,nouns,0.3832117,2.418301291,0.227451381
21,arm,nouns,0.5073892,2.451786436,0.26265758
22,arm,nouns,0.575,2.485721426,0.371121563
23,arm,nouns,0.6946565,2.50242712,0.422562203
24,arm,nouns,0.7238422,2.582063363,0.460512267
25,arm,nouns,0.7657658,2.612783857,0.50807633
26,arm,nouns,0.8121547,2.62324929,0.584969645
27,arm,nouns,0.8102564,2.656098202,0.603762327
28,arm,nouns,0.9322459,2.695481676,0.726911029
29,arm,nouns,0.8888889,2.752816431,0.667339814
30,arm,nouns,0.959322,2.781036939,0.768976404
16,around,function_words,0.006276151,3.047274867,0.056568542
17,around,function_words,0.007326007,3.081347308,0.066343888
18,around,function_words,0.02488688,3.123851641,0.106334842
19,around,function_words,0.03353659,3.163757524,0.144634805
20,around,function_words,0.05474453,3.208172527,0.164071352
21,around,function_words,0.04433498,3.247973266,0.189509296
22,around,function_words,0.085,3.283074975,0.292292663
23,around,function_words,0.1755725,3.317645543,0.342683558
24,around,function_words,0.1715266,3.37051309,0.382273778
25,around,function_words,0.2702703,3.39880773,0.435419606
26,around,function_words,0.3149171,3.42975228,0.520267503
27,around,function_words,0.2923077,3.454387467,0.543814382
28,around,function_words,0.4504391,3.485437481,0.672683327
29,around,function_words,0.4141414,3.515343893,0.620874663
30,around,function_words,0.5084746,3.543943942,0.730078332
16,asleep,adjectives,0.03033473,1.819543936,0.070012036
17,asleep,adjectives,0.06227106,1.832508913,0.077550304
18,asleep,adjectives,0.1063348,1.903089987,0.118670545
19,asleep,adjectives,0.1890244,1.991226076,0.164030427
20,asleep,adjectives,0.2226277,2.021189299,0.182447321
21,asleep,adjectives,0.2463054,2.049218023,0.217034659
22,asleep,adjectives,0.405,2.08278537,0.331869919
23,asleep,adjectives,0.4618321,2.146128036,0.374099749
24,asleep,adjectives,0.5454545,2.235528447,0.419289335
25,asleep,adjectives,0.5915916,2.269512944,0.467742301
26,asleep,adjectives,0.6132597,2.298853076,0.546895239
27,asleep,adjectives,0.5692308,2.336459734,0.573280511
28,asleep,adjectives,0.7942284,2.397940009,0.693185951
29,asleep,adjectives,0.7474747,2.431363764,0.643371105
30,asleep,adjectives,0.8542373,2.45484486,0.750287945
16,at,function_words,0.01046025,3.837714668,0.075796405
17,at,function_words,0.02197802,3.855700831,0.083871537
18,at,function_words,0.03393665,3.901676231,0.125855046
19,at,function_words,0.03658537,3.931254406,0.170767306
20,at,function_words,0.0729927,3.968623021,0.188337281
21,at,function_words,0.1034483,3.992730204,0.213004478
22,at,function_words,0.19,4.014898387,0.320250694
23,at,function_words,0.2061069,4.035989757,0.362482679
24,at,function_words,0.2349914,4.117039168,0.399179142
25,at,function_words,0.2732733,4.140947771,0.445055643
26,at,function_words,0.4143646,4.162295503,0.535138412
27,at,function_words,0.4205128,4.183639904,0.55698002
28,at,function_words,0.5470514,4.208736877,0.683838671
29,at,function_words,0.510101,4.239349539,0.62898899
30,at,function_words,0.6101695,4.265266048,0.739204313
16,awake,adjectives,0.007322176,1.462397998,0.051178317
17,awake,adjectives,0.02564103,1.505149978,0.060005784
18,awake,adjectives,0.05429864,1.579783597,0.095759234
19,awake,adjectives,0.1067073,1.716003344,0.144678492
20,awake,adjectives,0.1167883,1.770852012,0.16132624
21,awake,adjectives,0.2019704,1.851258349,0.199184644
22,awake,adjectives,0.295,1.880813592,0.302287582
23,awake,adjectives,0.351145,1.929418926,0.35026424
24,awake,adjectives,0.4030875,1.986771734,0.408459189
25,awake,adjectives,0.4894895,2.041392685,0.448780677
26,awake,adjectives,0.5690608,2.079181246,0.524069553
27,awake,adjectives,0.5282051,2.113943352,0.548625382
28,awake,adjectives,0.7302384,2.158362492,0.685520371
29,awake,adjectives,0.6767677,2.190331698,0.639129759
30,awake,adjectives,0.8033898,2.206825876,0.746839947
16,away,function_words,0.01569038,2.942504106,0.069039835
17,away,function_words,0.01098901,2.973589623,0.077685602
18,away,function_words,0.06108597,3.025305865,0.127076384
19,away,function_words,0.07621951,3.101403351,0.17234922
20,away,function_words,0.09854015,3.163757524,0.192364259
21,away,function_words,0.1231527,3.203576775,0.221778416
22,away,function_words,0.235,3.258876629,0.330069912
23,away,function_words,0.2862595,3.29666519,0.378369627
24,away,function_words,0.3396226,3.345177617,0.41975818
25,away,function_words,0.4234234,3.384353414,0.468801756
26,away,function_words,0.480663,3.418467021,0.548600455
27,away,function_words,0.4923077,3.457881897,0.57278589
28,away,function_words,0.6675031,3.491641793,0.698411656
29,away,function_words,0.5757576,3.537063143,0.644653031
30,away,function_words,0.6779661,3.57921178,0.749073316
16,back,function_words,0.0460251,3.481299273,0.076329363
17,back,function_words,0.04395604,3.512417549,0.087288136
18,back,function_words,0.10181,3.564902673,0.142087548
19,back,function_words,0.1402439,3.611192061,0.186606718
20,back,function_words,0.1569343,3.663700925,0.20855831
21,back,function_words,0.1576355,3.70457945,0.237199232
22,back,function_words,0.31,3.73933496,0.34752312
23,back,function_words,0.3969466,3.773493892,0.396565212
24,back,function_words,0.3842196,3.82314806,0.437324155
25,back,function_words,0.4564565,3.855700831,0.484676789
26,back,function_words,0.5248619,3.888291845,0.565763968
27,back,function_words,0.5384615,3.91105102,0.587271727
28,back,function_words,0.6888331,3.937066312,0.714618171
29,back,function_words,0.6464646,3.970393372,0.656257647
30,back,function_words,0.779661,4.000867722,0.763785825
16,bad,adjectives,0.06903766,2.326335861,0.069167555
17,bad,adjectives,0.07326007,2.374748346,0.077230112
18,bad,adjectives,0.1312217,2.396199347,0.124564511
19,bad,adjectives,0.1615854,2.462397998,0.171245602
20,bad,adjectives,0.2116788,2.51851394,0.192602851
21,bad,adjectives,0.2857143,2.589949601,0.222218284
22,bad,adjectives,0.325,2.629409599,0.324416576
23,bad,adjectives,0.4198473,2.672097858,0.375160904
24,bad,adjectives,0.5025729,2.716837723,0.419780825
25,bad,adjectives,0.5615616,2.766412847,0.467541761
26,bad,adjectives,0.6629834,2.81756537,0.545750607
27,bad,adjectives,0.5846154,2.851869601,0.569352556
28,bad,adjectives,0.7565872,2.911690159,0.700214789
29,bad,adjectives,0.6919192,2.982271233,0.644418446
30,bad,adjectives,0.8338983,3.026533265,0.755927814
16,ball,nouns,0.7667364,3.481729197,0.129994127
17,ball,nouns,0.7948718,3.525174428,0.143364487
18,ball,nouns,0.89819,3.569022586,0.208256894
19,ball,nouns,0.9146341,3.647480773,0.252608258
20,ball,nouns,0.9525547,3.719993826,0.275417453
21,ball,nouns,0.9408867,3.752893155,0.303185731
22,ball,nouns,0.96,3.77298145,0.407065555
23,ball,nouns,0.9770992,3.789298611,0.454480256
24,ball,nouns,0.9639794,3.802636918,0.496213038
25,ball,nouns,0.972973,3.811440944,0.541688925
26,ball,nouns,0.9834254,3.818225894,0.615109103
27,ball,nouns,0.9794872,3.831997677,0.636670441
28,ball,nouns,0.9949812,3.852540986,0.75219121
29,ball,nouns,0.979798,3.868526887,0.698489739
30,ball,nouns,0.9932203,3.87604455,0.795144066
16,balloon,nouns,0.4728033,2.29666519,0.130945405
17,balloon,nouns,0.3992674,2.357934847,0.146770547
18,balloon,nouns,0.60181,2.475671188,0.20652494
19,balloon,nouns,0.6493902,2.50242712,0.255467222
20,balloon,nouns,0.6861314,2.536558443,0.273618623
21,balloon,nouns,0.7093596,2.550228353,0.300021094
22,balloon,nouns,0.805,2.57863921,0.407449465
23,balloon,nouns,0.8473282,2.643452676,0.452299552
24,balloon,nouns,0.8730703,2.725094521,0.492011518
25,balloon,nouns,0.8948949,2.752816431,0.530657973
26,balloon,nouns,0.9171271,2.773786445,0.604827408
27,balloon,nouns,0.9435897,2.797267541,0.625016414
28,balloon,nouns,0.9761606,2.80685803,0.739075441
29,balloon,nouns,0.9292929,2.821513528,0.68834257
30,balloon,nouns,0.979661,2.860338007,0.787881899
16,banana,nouns,0.5167364,2.622214023,0.183342809
17,banana,nouns,0.5567766,2.688419822,0.204415954
18,banana,nouns,0.658371,2.758154622,0.285585646
19,banana,nouns,0.7256098,2.787460475,0.336921296
20,banana,nouns,0.7554745,2.8162413,0.354712183
21,banana,nouns,0.773399,2.871572936,0.371199833
22,banana,nouns,0.87,2.931966115,0.466986885
23,banana,nouns,0.9007634,2.96425963,0.506313613
24,banana,nouns,0.8747856,3.024074987,0.528448439
25,banana,nouns,0.9129129,3.042969073,0.573290462
26,banana,nouns,0.9226519,3.059563418,0.639924907
27,banana,nouns,0.9333333,3.068185862,0.660866251
28,banana,nouns,0.9799247,3.095866453,0.771380966
29,banana,nouns,0.9393939,3.115943177,0.719525465
30,banana,nouns,0.9728814,3.133538908,0.812611776
16,basement,nouns,0.007322176,1.462397998,0.061755713
17,basement,nouns,0.007326007,1.462397998,0.074387151
18,basement,nouns,0.0158371,1.591064607,0.12905555
19,basement,nouns,0.02743902,1.591064607,0.170601972
20,basement,nouns,0.04379562,1.591064607,0.1898975
21,basement,nouns,0.07881773,1.653212514,0.219753695
22,basement,nouns,0.105,1.672097858,0.318076923
23,basement,nouns,0.1374046,1.672097858,0.370449207
24,basement,nouns,0.1183533,1.812913357,0.406163128
25,basement,nouns,0.1711712,1.838849091,0.450974464
26,basement,nouns,0.1933702,1.86332286,0.53388582
27,basement,nouns,0.2615385,1.903089987,0.558140253
28,basement,nouns,0.2747804,1.908485019,0.676512827
29,basement,nouns,0.2171717,1.944482672,0.626646904
30,basement,nouns,0.2440678,1.963787827,0.728952629
16,basket,nouns,0.03138075,2.29666519,0.062968279
17,basket,nouns,0.05494505,2.352182518,0.073349053
18,basket,nouns,0.1357466,2.394451681,0.124032453
19,basket,nouns,0.1768293,2.431363764,0.165373088
20,basket,nouns,0.189781,2.44870632,0.186072236
21,basket,nouns,0.2512315,2.489958479,0.215515406
22,basket,nouns,0.325,2.534026106,0.32421981
23,basket,nouns,0.4045802,2.582063363,0.374860726
24,basket,nouns,0.4665523,2.715167358,0.415625788
25,basket,nouns,0.5015015,2.737192643,0.464574492
26,basket,nouns,0.5801105,2.762678564,0.543036679
27,basket,nouns,0.5897436,2.783188691,0.573159574
28,basket,nouns,0.7628607,2.802089258,0.697386715
29,basket,nouns,0.6666667,2.824125834,0.644566493
30,basket,nouns,0.820339,2.845718018,0.751967351
16,bat,nouns,0.06171548,1.770852012,0.080161515
17,bat,nouns,0.06959707,1.851258349,0.08540747
18,bat,nouns,0.1312217,2.123851641,0.155661695
19,bat,nouns,0.1890244,2.130333768,0.201923077
20,bat,nouns,0.1715328,2.178976947,0.214790626
21,bat,nouns,0.2413793,2.209515015,0.248881903
22,bat,nouns,0.295,2.290034611,0.349670886
23,bat,nouns,0.3778626,2.31386722,0.400069396
24,bat,nouns,0.4202401,2.374748346,0.452949451
25,bat,nouns,0.4714715,2.387389826,0.498145919
26,bat,nouns,0.5359116,2.392696953,0.573509508
27,bat,nouns,0.5179487,2.424881637,0.608861237
28,bat,nouns,0.7565872,2.462397998,0.737123403
29,bat,nouns,0.6212121,2.480006943,0.674160964
30,bat,nouns,0.7050847,2.505149978,0.771538798
16,be,function_words,0.008368201,3.451172158,0.059384957
17,be,function_words,0.01831502,3.476541809,0.067149204
18,be,function_words,0.009049774,3.524655712,0.113008192
19,be,function_words,0.03353659,3.560743301,0.153331561
20,be,function_words,0.04379562,3.59736605,0.173084152
21,be,function_words,0.06403941,3.637089274,0.19913472
22,be,function_words,0.09,3.672559628,0.302671442
23,be,function_words,0.129771,3.702085721,0.349616741
24,be,function_words,0.1492281,3.781324456,0.389664059
25,be,function_words,0.1981982,3.819148943,0.440828356
26,be,function_words,0.3038674,3.858537198,0.523486333
27,be,function_words,0.2974359,3.889021422,0.5451196
28,be,function_words,0.3839398,3.92345127,0.673714598
29,be,function_words,0.3737374,3.974004797,0.620810795
30,be,function_words,0.4644068,4.010087847,0.732222254
16,bead,nouns,0.05439331,1.146128036,0.099682318
17,bead,nouns,0.05860806,1.146128036,0.108940442
18,bead,nouns,0.09276018,1.301029996,0.177108713
19,bead,nouns,0.1219512,1.322219295,0.227954972
20,bead,nouns,0.149635,1.361727836,0.253400796
21,bead,nouns,0.1773399,1.531478917,0.24459199
22,bead,nouns,0.2,1.591064607,0.332911392
23,bead,nouns,0.2671756,1.643452676,0.38114006
24,bead,nouns,0.2830189,1.716003344,0.42405699
25,bead,nouns,0.2942943,1.72427587,0.47589695
26,bead,nouns,0.3093923,1.748188027,0.551128383
27,bead,nouns,0.3025641,1.748188027,0.575532377
28,bead,nouns,0.4930991,1.954242509,0.730975381
29,bead,nouns,0.4343434,1.963787827,0.663041902
30,bead,nouns,0.5762712,1.977723605,0.767299961
16,bean,nouns,0.07426778,2.012837225,0.088435859
17,bean,nouns,0.0952381,2.021189299,0.098171602
18,bean,nouns,0.2058824,2.029383778,0.163113652
19,bean,nouns,0.2560976,2.037426498,0.211771053
20,bean,nouns,0.2773723,2.056904851,0.235567352
21,bean,nouns,0.3842365,2.068185862,0.277151324
22,bean,nouns,0.4,2.089905111,0.374962406
23,bean,nouns,0.4503817,2.100370545,0.426307605
